"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1974011010773364784","Fri Oct 03 07:17:54 +0000 2025","0","SPBU Swasta Tolak Impor Base Fuel Pertamina Kandungan Etanol Jadi Sorotan https://t.co/EoG1YThbjd","1974011010773364784","","","in","","0","0","1","https://x.com/undefined/status/1974011010773364784","888318006979252225",
"1974010877939470625","Fri Oct 03 07:17:23 +0000 2025","0","Meski pasokan BBM ke SPBU swasta dibatalkan kualitas produk bukan masalah. Kandungan etanol tetap sesuai regulasi dan sinergi pelaku energi tetap terbuka #KolaborasiEnergi https://t.co/J03UETEuj6","1974010877939470625","https://pbs.twimg.com/media/G2UYbXHbEAA5cEj.jpg","","in","","0","0","0","https://x.com/undefined/status/1974010877939470625","1687001607433793536",
"1974009911735357441","Fri Oct 03 07:13:32 +0000 2025","0","Kualitas BBM nasional dan kandungan etanol selalu sesuai ketentuan kolaborasi antar usaha energi masih terbuka lebar #KolaborasiEnergi https://t.co/0fx1DrAnCQ","1974009911735357441","https://pbs.twimg.com/media/G2UXhjUaAAADGwX.jpg","","in","","0","0","0","https://x.com/undefined/status/1974009911735357441","1701081657053511680",
"1974009782617989275","Fri Oct 03 07:13:02 +0000 2025","0","Lanjut sinergi energi pembatalan BBM ke SPBU swasta bukan soal mutu kandungan etanol aman standar nasional tetap dijaga #KolaborasiEnergi https://t.co/THMqRQeX5c","1974009782617989275","https://pbs.twimg.com/media/G2UXbhnbMAAH0fa.jpg","","in","","0","0","0","https://x.com/undefined/status/1974009782617989275","1701804750742986752",
"1974009777442222371","Fri Oct 03 07:13:00 +0000 2025","0","Masa depan energi tetap cerah standar mutu BBM nasional dijaga dan kandungan etanol masih sesuai regulasi #KolaborasiEnergi https://t.co/bViDh76PYT","1974009777442222371","https://pbs.twimg.com/media/G2UXaS_agAADDUp.jpg","","in","","0","0","0","https://x.com/undefined/status/1974009777442222371","1701149790195879936",
"1974009301502152875","Fri Oct 03 07:11:07 +0000 2025","0","Alasan 3 SPBU Asing Batal Beli BBM Pertamina Buka Suara Soal Kandungan Etanol https://t.co/mPJhSJunmc #DukunganProgramPemerintah","1974009301502152875","","","in","","0","0","0","https://x.com/undefined/status/1974009301502152875","509946051",
"1974008804892389829","Fri Oct 03 07:09:09 +0000 2025","0","Kualitas dan kandungan etanol BBM nasional sesuai standar pemerintah ruang kolaborasi makin luas buat ke depannya #KolaborasiEnergi https://t.co/L9MfD2I627","1974008804892389829","https://pbs.twimg.com/media/G2UWh2CbMAAKIw9.jpg","","in","","0","0","0","https://x.com/undefined/status/1974008804892389829","1701086567174164480",
"1974005696472756699","Fri Oct 03 06:56:47 +0000 2025","0","Pasokan BBM ke SPBU swasta batal bukan masalah kualitas. Kandungan etanol tetap sesuai aturan dan kerja sama makin terbuka ke depannya #KolaborasiEnergi https://t.co/VzfhgqEbHc","1974005696472756699","https://pbs.twimg.com/media/G2UTtPbagAAHTR4.jpg","","in","","0","0","0","https://x.com/undefined/status/1974005696472756699","1696724866286968832",
"1974005309992817134","Fri Oct 03 06:55:15 +0000 2025","1","Enggak ada masalah kualitas di pembatalan BBM ke SPBU swasta standar mutu dan kandungan etanol tetap tegas kok #KolaborasiEnergi https://t.co/flOcWS15Sz","1974005309992817134","https://pbs.twimg.com/media/G2UTXjabwAA2h95.jpg","","in","","0","0","0","https://x.com/undefined/status/1974005309992817134","1701883017177047040",
"1974005061668708666","Fri Oct 03 06:54:16 +0000 2025","0","Kandungan Etanol di BBM Lazim Dilakukan tapi Kenapa Shell Cs Batal Beli? https://t.co/wNTRzjSzOb","1974005061668708666","","","in","","0","0","0","https://x.com/undefined/status/1974005061668708666","47274731",
